episode,episode_reward,batch_reward,epsilon
423,154.160087203,146.244015176,0.1
424,312.716347993,146.346130429,0.1
425,331.159661462,146.880479343,0.1
426,183.294132509,149.717604029,0.1
427,-51.7300012173,148.108131506,0.1
428,99.7964490173,146.096659272,0.1
429,333.94224446,146.646996489,0.1
430,86.8022367369,144.592306132,0.1
431,46.5522950952,141.880239091,0.1
432,301.340581874,141.701831302,0.1
433,306.920124067,141.593350222,0.1
434,213.357580984,142.927470824,0.1
435,290.859276705,144.558405241,0.1
436,-115.612203441,140.10322798,0.1
437,-487.162116208,132.261497576,0.1
438,86.1455947129,129.987169617,0.1
439,97.9565045272,127.423179504,0.1
440,-164.328755678,126.230637047,0.1
441,-224.819707772,122.639415735,0.1
442,-147.873172066,117.925551515,0.1
443,-396.394037623,110.762882606,0.1
444,-167.6717154,105.757574011,0.1
445,89.7930763371,103.609418684,0.1
446,319.576141675,103.801819925,0.1
447,273.552385407,104.307089173,0.1
448,-103.431898485,105.087012202,0.1
449,121.83734553,107.554012081,0.1
450,208.931451425,114.447557326,0.1
451,277.629510239,116.641888908,0.1
452,350.584351577,116.642464277,0.1
453,-191.995050918,112.334205278,0.1
454,31.4153767914,109.522339544,0.1
455,313.144133516,109.434393345,0.1
456,328.815247668,109.194821741,0.1
457,339.33521757,110.33522426,0.1
458,-175.942014882,106.861640623,0.1
459,88.6654932153,105.528412702,0.1
460,-33.4929532895,102.760313244,0.1
461,108.408131701,101.687200402,0.1
462,-240.944910366,97.1060463348,0.1
463,-456.329301693,96.2817525132,0.1
464,-1406.56150081,86.5650305677,0.1
465,113.528552595,86.1337305925,0.1
466,-240.267983127,80.5221066654,0.1
467,159.223325154,78.7186290283,0.1
468,302.329708628,78.917643231,0.1
469,314.888016496,81.3247810194,0.1
470,306.590830984,83.1393833565,0.1
471,-36.3764598384,82.4529072165,0.1
472,-31.0687832458,80.9040748291,0.1
473,-140.411426912,78.2797753871,0.1
474,112.659062293,79.0309522332,0.1
475,91.3415278128,77.7341409774,0.1
476,-69.3526280803,74.6727685667,0.1
477,121.943317806,75.3380535807,0.1
478,13.9644908666,74.4796257676,0.1
479,-8.70641075099,75.4038572639,0.1
480,234.834196465,81.893070804,0.1
481,297.808215781,87.853898663,0.1
482,-273.440287049,88.6568057856,0.1
483,108.103106805,91.7129774131,0.1
484,203.387226526,92.5582656578,0.1
485,250.11206019,93.0799552545,0.1
486,36.4854728655,91.0421777501,0.1
487,47.7211712728,92.8143685533,0.1
488,263.205247457,99.5742127069,0.1
489,167.814072424,103.232820455,0.1
490,330.247521171,105.854811401,0.1
491,21.9756426038,106.514629054,0.1
492,-159.307024279,103.771193795,0.1
493,-241.508076882,98.3931492496,0.1
494,144.557782677,99.615122875,0.1
